model_name,ACTIVE_PHARMACEUTICAL_INGREDIENT f1-score,DIAGNOSTIC_PROCEDURE_NAME f1-score,DIETARY_SUPPLEMENT_ACTIVE_COMPONENT f1-score,DIETARY_SUPPLEMENT_BRAND_NAME f1-score,DISEASE_ICD_CODE f1-score,DISEASE_NAME f1-score,MEDICAL_SUPPLY_NAME f1-score,Overall f1-score,PHARMACEUTICAL_BRAND_NAME f1-score,SURGICAL_PROCEDURE_NAME f1-score,THERAPEUTIC_INTERVENTION_NAME f1-score,ACTIVE_PHARMACEUTICAL_INGREDIENT precision,DIAGNOSTIC_PROCEDURE_NAME precision,DIETARY_SUPPLEMENT_ACTIVE_COMPONENT precision,DIETARY_SUPPLEMENT_BRAND_NAME precision,DISEASE_ICD_CODE precision,DISEASE_NAME precision,MEDICAL_SUPPLY_NAME precision,Overall precision,PHARMACEUTICAL_BRAND_NAME precision,SURGICAL_PROCEDURE_NAME precision,THERAPEUTIC_INTERVENTION_NAME precision,ACTIVE_PHARMACEUTICAL_INGREDIENT recall,DIAGNOSTIC_PROCEDURE_NAME recall,DIETARY_SUPPLEMENT_ACTIVE_COMPONENT recall,DIETARY_SUPPLEMENT_BRAND_NAME recall,DISEASE_ICD_CODE recall,DISEASE_NAME recall,MEDICAL_SUPPLY_NAME recall,Overall recall,PHARMACEUTICAL_BRAND_NAME recall,SURGICAL_PROCEDURE_NAME recall,THERAPEUTIC_INTERVENTION_NAME recall
athene-v2:72b,0.7699917559769168,0.4451038575667656,0.2,0.6875,0.923076923076923,0.6469937292511988,0.4748387096774194,0.6720937158741189,0.8078431372549019,0.3099787685774947,0.2760180995475113,0.9103313840155945,0.4658385093167702,0.5714285714285714,0.7586206896551724,0.9848024316109423,0.7837354781054513,0.5427728613569321,0.7587984756780991,0.7565582371458552,0.474025974025974,0.3065326633165829,0.6671428571428571,0.4261363636363636,0.1212121212121212,0.6285714285714286,0.868632707774799,0.5508793969849246,0.4220183486238532,0.6031717747683535,0.8665865384615384,0.2302839116719243,0.2510288065843622
aya-expanse:32b,0.470944921677615,0.02247191011235955,0.0,0.1602209944751381,0.9070100143061517,0.6254243681629574,0.2262773722627737,0.5067117640841349,0.5637639290136195,0.03105590062111801,0.0316205533596838,0.8048359240069085,1.0,0.0,0.1907894736842105,0.9723926380368099,0.7828139754485364,0.5535714285714286,0.622759158222915,0.4292897548711502,1.0,0.4,0.3328571428571429,0.01136363636363636,0.0,0.1380952380952381,0.8498659517426274,0.5207286432160804,0.1422018348623853,0.4271204561653599,0.8209134615384616,0.01577287066246057,0.01646090534979424
aya-expanse:8b,0.4941060903732808,0.0,0.0,0.3772455089820359,0.8470588235294118,0.5599144079885878,0.004464285714285715,0.4871339840283939,0.5770627919045147,0.0,0.0,0.7908805031446541,0.0,0.0,0.5080645161290323,0.9381107491856677,0.6476897689768977,0.08333333333333333,0.645123384253819,0.5077625570776255,0.0,0.0,0.3592857142857143,0.0,0.0,0.3,0.7721179624664879,0.4930904522613065,0.002293577981651376,0.391304347826087,0.6682692307692307,0.0,0.0
command-r-plus:104b,0.4076294277929155,0.06486486486486487,0.0,0.1557377049180328,0.7828418230563002,0.5097375105842507,0.2369077306733167,0.4240009658336351,0.4817618719889883,0.09444444444444444,0.007692307692307694,0.8597701149425288,0.6666666666666666,0.0,0.5588235294117647,0.7828418230563002,0.7818181818181819,0.2595628415300547,0.6574316735305129,0.5636070853462157,0.3953488372093023,0.05882352941176471,0.2671428571428571,0.03409090909090909,0.0,0.09047619047619047,0.7828418230563002,0.3781407035175879,0.2178899082568807,0.3129009265858874,0.4206730769230769,0.05362776025236593,0.00411522633744856
command-r:35b,0.7351485148514851,0.2679425837320574,0.1538461538461539,0.5527065527065527,0.9028571428571429,0.5443349753694581,0.3484087102177554,0.6175637393767704,0.7438676554478038,0.2371134020618557,0.2419928825622776,0.8701171875,0.8484848484848485,0.5,0.6879432624113475,0.9663608562691132,0.7855450236966824,0.6459627329192547,0.7947279865395401,0.7079261672095548,0.647887323943662,0.8947368421052632,0.6364285714285715,0.1590909090909091,0.09090909090909091,0.4619047619047619,0.8471849865951743,0.4164572864321608,0.2385321100917431,0.5049893086243763,0.7836538461538461,0.1451104100946372,0.139917695473251
firefunction-v2:70b,0.762902019446522,0.03191489361702127,0.0,0.1255230125523013,0.9187675070028011,0.6501638150709865,0.1945392491467577,0.5933087117097546,0.569655172413793,0.01238390092879257,0.0,0.8006279434850864,0.25,0.0,0.5172413793103449,0.9618768328445748,0.7731601731601732,0.38,0.7598775737340011,0.6682847896440129,0.3333333333333333,0.0,0.7285714285714285,0.01704545454545454,0.0,0.07142857142857142,0.8793565683646113,0.5609296482412061,0.1307339449541284,0.4866357804704206,0.4963942307692308,0.006309148264984227,0.0
gpt-4o,0.8121746095314377,0.6435331230283913,0.1886792452830189,0.7684964200477328,0.9064748201438849,0.68983174835406,0.5958549222797928,0.7390874975311081,0.8606847697756789,0.569078947368421,0.4154302670623146,0.9243391066545124,0.723404255319149,0.25,0.7703349282296651,0.9782608695652174,0.8257443082311734,0.6845238095238095,0.8289765175011077,0.845707656612529,0.5945017182130584,0.7446808510638298,0.7242857142857143,0.5795454545454546,0.1515151515151515,0.7666666666666667,0.8445040214477212,0.5923366834170855,0.5275229357798165,0.6667854597291518,0.8762019230769231,0.5457413249211357,0.2880658436213992
granite3-dense:8b,0.2697881828316611,0.0,0.0,0.08108108108108107,0.1158690176322418,0.2752666328085323,0.0045662100456621,0.2180515759312321,0.3109182935647144,0.0,0.0,0.6142131979695431,0.0,0.0,0.75,0.9583333333333334,0.7188328912466844,0.5,0.5562865497076024,0.3901996370235934,0.0,0.0,0.1728571428571428,0.0,0.0,0.04285714285714286,0.06166219839142091,0.1702261306532663,0.002293577981651376,0.1356022808267997,0.2584134615384616,0.0,0.0
granite3.1-dense:8b,0.4357754519505233,0.0,0.0,0.03636363636363637,0.5454545454545454,0.5755178907721281,0.1199400299850075,0.4205233687578562,0.475609756097561,0.006289308176100629,0.0,0.6524216524216524,0.0,0.0,0.4,0.9290322580645162,0.7187206020696143,0.1731601731601732,0.5861739407454604,0.441358024691358,1.0,0.0,0.3271428571428571,0.0,0.0,0.01904761904761905,0.3860589812332439,0.4798994974874372,0.09174311926605505,0.3278688524590164,0.515625,0.003154574132492113,0.0
granite3.1-moe:3b,0.4364820846905538,0.0,0.0,0.0186046511627907,0.1313868613138686,0.492929292929293,0.00453514739229025,0.3211346080790173,0.1635555555555556,0.0,0.0,0.5075757575757576,0.0,0.0,0.4,0.7105263157894737,0.6908267270668177,0.2,0.5549234135667396,0.3139931740614335,0.0,0.0,0.3828571428571428,0.0,0.0,0.009523809523809525,0.07238605898123325,0.3831658291457287,0.002293577981651376,0.225944404846757,0.1105769230769231,0.0,0.0
hermes3:405b,0.7592433361994841,0.23963133640553,0.1428571428571429,0.5966850828729281,0.9088319088319089,0.6405830456463367,0.5146036161335187,0.6635573457706168,0.8136390358612581,0.1284916201117318,0.28,0.9535637149028078,0.6341463414634146,0.3333333333333333,0.7105263157894737,0.9696048632218845,0.8226600985221675,0.6537102473498233,0.8189429618001046,0.7963176064441887,0.5609756097560976,0.356687898089172,0.6307142857142857,0.1477272727272727,0.09090909090909091,0.5142857142857142,0.8552278820375335,0.5244974874371859,0.4243119266055046,0.5577334283677833,0.8317307692307693,0.07255520504731862,0.2304526748971193
hermes3:70b,0.6171839856050383,0.09326424870466321,0.08,0.4246575342465753,0.8340425531914893,0.5951077035414386,0.3122238586156112,0.5580016934801015,0.6478149100257069,0.1612903225806452,0.016,0.8335358444714459,0.5294117647058824,0.1176470588235294,0.7560975609756098,0.8855421686746988,0.7105492589363557,0.4362139917695473,0.6871741397288843,0.5660377358490566,0.5454545454545454,0.2857142857142857,0.49,0.05113636363636364,0.06060606060606061,0.2952380952380952,0.7882037533512064,0.5119346733668342,0.2431192660550459,0.4697077690662865,0.7572115384615384,0.0946372239747634,0.00823045267489712
hermes3:8b,0.5109967243799719,0.01041666666666667,0.0,0.3904109589041096,0.8403614457831327,0.5719859539602029,0.1950354609929078,0.5054095826893354,0.5759429153924567,0.2170542635658915,0.0842911877394636,0.7408412483039348,0.0625,0.0,0.6951219512195121,0.9587628865979382,0.7548918640576725,0.4296875,0.6642484039466048,0.5,0.6,0.6111111111111112,0.39,0.005681818181818182,0.0,0.2714285714285714,0.7479892761394102,0.4604271356783919,0.1261467889908257,0.4078759800427655,0.6790865384615384,0.1324921135646688,0.04526748971193416
llama3.1:405b,0.8138528138528137,0.1274509803921569,0.07407407407407407,0.4972067039106144,0.8911465892597967,0.6642309097552065,0.4630681818181818,0.6719342604298357,0.7954401519949335,0.1058823529411765,0.1818181818181818,0.9062226117440841,0.4642857142857143,0.09523809523809523,0.6013513513513513,0.9715189873417721,0.7938864628820961,0.6082089552238806,0.8219072164948453,0.8406961178045516,0.782608695652174,0.6046511627906976,0.7385714285714285,0.07386363636363637,0.06060606060606061,0.4238095238095238,0.8230563002680965,0.5709798994974874,0.3738532110091743,0.5682466143977192,0.7548076923076923,0.05678233438485805,0.1069958847736626
llama3.1:405b-instruct-q8,0.821863940228077,0.358974358974359,0.05405405405405406,0.6839378238341969,0.9072753209700428,0.6605705925384052,0.4375963020030816,0.6936682365253795,0.8085937500000001,0.2822966507177033,0.3217665615141956,0.9142607174103237,0.7241379310344828,0.25,0.75,0.9695121951219512,0.7907180385288967,0.6666666666666666,0.8404767943190464,0.8821022727272727,0.5841584158415841,0.6891891891891891,0.7464285714285714,0.2386363636363636,0.0303030303030303,0.6285714285714286,0.8525469168900804,0.5672110552763819,0.3256880733944954,0.590520313613685,0.7463942307692307,0.1861198738170347,0.2098765432098765
llama3.1:70b,0.6543556804496187,0.06091370558375634,0.0,0.4052287581699347,0.8486562942008486,0.5836459114778695,0.178060413354531,0.5520224962145793,0.645359557467732,0.04863221884498481,0.01568627450980392,0.7470210815765352,0.2857142857142857,0.0,0.6458333333333334,0.8982035928143712,0.7243947858472998,0.2901554404145077,0.7022564667033572,0.660377358490566,0.6666666666666666,0.1666666666666667,0.5821428571428572,0.03409090909090909,0.0,0.2952380952380952,0.8042895442359249,0.4886934673366834,0.1284403669724771,0.4547398431931575,0.6310096153846154,0.02523659305993691,0.00823045267489712
llama3.1:8b,0.3757894736842105,0.04301075268817205,0.0,0.4698412698412699,0.8703170028818444,0.538432122370937,0.3363754889178618,0.4547461368653422,0.4933196300102775,0.05405405405405406,0.007722007722007723,0.714,0.4,0.0,0.7047619047619048,0.940809968847352,0.6881720430107527,0.3897280966767371,0.5974477958236659,0.4308797127468582,0.5625,0.0625,0.255,0.02272727272727273,0.0,0.3523809523809524,0.8096514745308311,0.4422110552763819,0.2958715596330275,0.3670705630791162,0.5769230769230769,0.02839116719242902,0.00411522633744856
llama3.2:3b,0.4111699566682715,0.0,0.0273972602739726,0.1647940074906367,0.6334519572953736,0.4946764946764947,0.09896907216494845,0.3835227272727273,0.3984108967082861,0.05357142857142858,0.03065134099616858,0.6307237813884786,0.0,0.025,0.3859649122807017,0.9417989417989417,0.7105882352941176,0.4897959183673469,0.5712270803949224,0.3774193548387097,0.4736842105263158,0.2222222222222222,0.305,0.0,0.0303030303030303,0.1047619047619048,0.4772117962466488,0.3793969849246231,0.05504587155963303,0.2886671418389166,0.421875,0.02839116719242902,0.01646090534979424
llama3.3:70b,0.8037612428454621,0.1800947867298578,0.3414634146341463,0.707774798927614,0.9377593360995851,0.6296985485671752,0.4589308996088657,0.6806670784434836,0.8093841642228738,0.3698924731182796,0.1891891891891892,0.9397705544933078,0.5428571428571428,0.875,0.8098159509202454,0.9685714285714285,0.7726027397260274,0.5317220543806647,0.8059483178937104,0.7903780068728522,0.581081081081081,0.5283018867924528,0.7021428571428572,0.1079545454545455,0.2121212121212121,0.6285714285714286,0.9088471849865952,0.5314070351758794,0.4036697247706422,0.5890947968638631,0.8293269230769231,0.2712933753943217,0.1152263374485597
llama3.3:70b-instruct-fp16,0.8113590263691683,0.2410714285714285,0.4782608695652174,0.7112299465240642,0.9333333333333333,0.6432311144353028,0.3855755894590846,0.6829872947009606,0.8234597156398105,0.3742454728370221,0.08823529411764705,0.9389671361502347,0.5625,0.8461538461538461,0.8109756097560976,0.968299711815562,0.7948243992606284,0.4877192982456141,0.8124846399606783,0.8119158878504673,0.5166666666666667,0.4137931034482759,0.7142857142857143,0.1534090909090909,0.3333333333333333,0.6333333333333333,0.900804289544236,0.5402010050251256,0.3188073394495413,0.5890947968638631,0.8353365384615384,0.2933753943217666,0.04938271604938271
mistral-small:24b,0.7280369903320724,0.4748201438848922,0.03846153846153846,0.6649076517150396,0.8962536023054755,0.633480825958702,0.5083932853717026,0.6657926583299717,0.778436018957346,0.4773960216998192,0.4092219020172911,0.8845760980592441,0.6470588235294118,0.05263157894736842,0.7455621301775148,0.9688473520249221,0.7669642857142858,0.5326633165829145,0.7669609665427509,0.7675233644859814,0.559322033898305,0.6826923076923077,0.6185714285714285,0.375,0.0303030303030303,0.6,0.8337801608579088,0.539572864321608,0.4862385321100918,0.5882038488952245,0.7896634615384616,0.416403785488959,0.2921810699588477
mixtral:8x22b,0.5427230046948357,0.1682242990654206,0.04651162790697675,0.3445945945945946,0.8270676691729323,0.5773993808049536,0.2825040128410915,0.5193236714975846,0.5867944621938233,0.1818181818181818,0.1538461538461539,0.7917808219178082,0.4736842105263158,0.1,0.5930232558139535,0.9417808219178082,0.7520161290322581,0.4705882352941176,0.676487414187643,0.5267686424474187,0.717391304347826,0.3478260869565217,0.4128571428571429,0.1022727272727273,0.0303030303030303,0.2428571428571429,0.7372654155495979,0.4685929648241206,0.2018348623853211,0.4214183891660727,0.6622596153846154,0.1041009463722398,0.09876543209876543
nemotron:70b,0.8119826566811194,0.08737864077669903,0.1777777777777778,0.5119047619047619,0.9204545454545455,0.6193308550185873,0.4594594594594595,0.6594332666175077,0.789598108747045,0.1232492997198879,0.007692307692307694,0.9058927000879508,0.3,0.3333333333333333,0.6825396825396826,0.9788519637462235,0.7586520947176685,0.6652173913043479,0.8064931718629219,0.7767441860465116,0.55,0.05882352941176471,0.7357142857142858,0.05113636363636364,0.1212121212121212,0.4095238095238095,0.868632707774799,0.5232412060301508,0.3509174311926606,0.5577334283677833,0.8028846153846154,0.0694006309148265,0.00411522633744856
qwen2.5-coder:32b,0.6701708278580816,0.3255813953488372,0.0,0.5722070844686648,0.865979381443299,0.6110260336906586,0.3430232558139535,0.612819716267992,0.7138297872340426,0.484629294755877,0.2169491525423729,0.8663646659116648,0.5121951219512195,0.0,0.6687898089171974,0.9607843137254902,0.7823529411764706,0.4682539682539683,0.7315203955500618,0.6402671755725191,0.5677966101694916,0.6153846153846154,0.5464285714285714,0.2386363636363636,0.0,0.5,0.7882037533512064,0.5012562814070352,0.2706422018348624,0.5272630078403421,0.8064903846153846,0.4227129337539432,0.1316872427983539
qwen2.5:72b,0.7431922915793883,0.427710843373494,0.1538461538461539,0.6141304347826086,0.9232914923291492,0.6642547033285093,0.4639580602883355,0.6628447168132845,0.7841031149301826,0.3151260504201681,0.2347188264058679,0.8986828774062816,0.4551282051282051,0.5,0.7151898734177216,0.9622093023255814,0.7832764505119454,0.5412844036697247,0.7442841287458379,0.7087378640776699,0.4716981132075472,0.2891566265060241,0.6335714285714286,0.4034090909090909,0.09090909090909091,0.5380952380952381,0.8873994638069705,0.5766331658291457,0.4059633027522936,0.5974697077690663,0.8774038461538461,0.2365930599369085,0.1975308641975309
